I 12/13,#,Level,Unit,Square,Bag,Flake portion,L(max),L(tech),W(mid length),T(mid length),T(bulb),P(w),P(t),EPA,EPA angle,Length Profile,MASS,Edge profile,Rock,P(morph),P(prep),P(prep on dorsal),P(abr),Cone,Cort,Dorsal scar pattern,Frac initiation point,Type,Termination,Twisted,Photo,Notes
,11,rfs,131,i13,3,complete,21.2,21.2,11.92,3.41,3.73,6.93,2.69,3.26,77.52583985,2,,Other,Chalcedony,Lunate (D4),Dihedral,short hinged removals (A2),None,Hertzian cone present,0,Orthogonal/crossed,Expressed and centered on the platform, B1,Feather,yes,,
,12,rfs,131,i13,3,complete,18.39,17.8,12.34,3.13,2.36,6.89,2.34,2.05,53.58080429,0.5,,Broken,Chert,Quadrangular or wide trapezoidal (D5),Faceted (bulb negatives are present),None (A1);,None,Hertzian cone absent,0,NA,Non-expressed, B1,Hinge,no,,
,13,rfs,131,i13,3,proximal,17.2,11.45,13.93,4.58,3.16,4.3,2.16,3.39,79.72209984,NA,,Broken,Chert,Oval/triangular (D3),None (plain),short hinged removals (A2),Slight,Hertzian cone absent,0,NA,Non-expressed,Other,Broken,no,,
,14,rfs,131,i13,3,complete,16.8,16.8,13.88,3.42,3.81,11.5,4.31,2.47,62.63051994,5,,Paralell,Chert,Quadrangular or wide trapezoidal (D5),Cortical,short hinged removals (A2),None,Hertzian cone present,91-99%,NA,Expressed and centered on the platform,A3,Feather,no,,
,15,rfs,131,i13,3,complete,20.66,18.16,9.77,6.71,5.52,2.45,4.38,NA,#VALUE!,2,,Paralell,Chalcedony,Missing,Other,None (A1);,None,Hertzian cone absent,0,NA,Non-expressed,A1,Plunge,yes,,
,16,rfs,131,i13,3,complete,13.33,9.23,13.98,3.66,4.39,11.45,2.66,3.93,88.13572111,NA,,Other,Hornfels,Narrow linear (D2),Faceted (bulb negatives are present),short hinged removals (A2),High,Hertzian cone present,0,NA,Expressed and lateralized on the platform,Other,Feather,NA,,
,17,rfs,131,i13,3,complete,13.95,11.31,12.48,2,1.69,5.42,1.17,NA,#VALUE!,0,,Other,Dyke material,Narrow linear (D2),None (plain),short hinged removals (A2),None,Eraillure scar,0,NA,Expressed and centered on the platform, B1,Feather,no,,
,18,rfs,131,i13,3,proximal,11.1,11.16,12.16,1.87,2.37,7.8,0.92,NA,#VALUE!,2,,Broken,CCS general,Chapeau de gendarme,None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Broken,NA,,
,19,rfs,131,i13,3,complete,14.61,13.58,13.83,2.92,4.47,12.03,3.98,4.5,95.88504091,3,,Paralell,CCS general,Quadrangular or wide trapezoidal (D5),Faceted (bulb negatives are present),None (A1);,None,Eraillure scar,1,NA,Expressed and centered on the platform,A2,Feather,NA,,
,20,rfs,131,i13,3,proximal,13.54,11.95,11.83,2.6,2.5,5.44,2.39,2.61,65.47045254,0,,Broken,CCS general,Lunate (D4),Cortical,None (A1);,None,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Broken,NA,,
,21,rfs,131,i13,3,proximal,10.86,11.08,12.98,3,2.27,8.18,1.72,2.04,53.355676,0,,Paralell,CCS general,Broken / fissured,None (plain),small removals following scar ridges (A3),Other,Hertzian cone absent,41-60%,Unidirectional-parallel A,Non-expressed, B6,Broken,NA,,dif?
,22,rfs,131,i13,3,proximal,12.5,12.5,11.86,2.78,2.19,6.02,2.24,2.57,64.66802383,0,,Broken,Chalcedony,Lunate (D4),Cortical,None (A1);,None,Hertzian cone present,0,Bidirectional/opposed,Expressed and centered on the platform, B1,Broken,no,,
,23,rfs,131,i13,3,proximal,15.21,12.31,12.72,2.22,4.55,7.87,4.77,2.03,53.13010235,3,,Other,CCS general,Oval/triangular (D3),None (plain),short hinged removals (A2),High,Eraillure scar,0,NA,Expressed and centered on the platform, B1,Broken,no,,
,24,rfs,131,i13,3,proximal,15.41,15.41,7.25,1.58,1.53,2.84,1.17,NA,#VALUE!,0,,Paralell,CCS general,Crushed,Reduced to an edge,Other,Very high,Hertzian cone absent,0,NA,Expressed and centered on the platform, B1,Broken,NA,,
,25,rfs,131,i13,3,complete,14.28,12.54,15.36,1.86,2.39,5.21,1.36,NA,#VALUE!,0,,Paralell,CCS general,Crushed,Absent (broken platform),short hinged removals (A2),High,Hinged bulb,0,NA,Expressed and centered on the platform, B1,Hinge,NA,,
,26,rfs,131,i13,3,complete,17.44,7.9,8.13,2.79,2.11,5.71,2.24,1.54,41.54450936,2,,Other,CCS general,Quadrangular or wide trapezoidal (D5),Faceted (bulb negatives are present),None (A1);,None,Hertzian cone present,41-60%,NA,Expressed and centered on the platform, B6,Plunge,NA,,
,27,rfs,131,i13,3,proximal,12.92,12.92,11.71,3.66,3.33,5.82,2.73,2.77,68.6087785,0,,Broken,CCS general,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Hertzian cone present,11-40%,NA,Expressed and centered on the platform, B6,Broken,NA,,
,28,rfs,131,i13,3,core,11.85,11.86,4.75,1.69,1.38,NA,NA,NA,#VALUE!,0.5,,Paralell,Chert,Punctiform (D1),Reduced to an edge,short hinged removals (A2),Other,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Broken,no,,rice grain core
,29,rfs,131,i13,3,complete,12.99,11.23,4.73,1.57,1.89,2.2,0.91,NA,#VALUE!,0,,Paralell,CCS general,Narrow linear (D2),None (plain),short hinged removals (A2),Slight,Hertzian cone present,0,Unidirectional-parallel A,Expressed and lateralized on the platform, B1,Feather,no,,twisted
,30,rfs,131,i13,3,medial,16.66,NA,7.42,3.1,NA,NA,NA,NA,#VALUE!,0,,Expanding,Chert,Missing,Other,None (A1);,None,,0,NA,Non-expressed,Other,,no,,"retouched tool, triangle?"
,31,rfs,131,i13,3,complete,6.81,5.8,9.57,1.66,1.97,NA,NA,NA,#VALUE!,0,,Expanding,CCS general,Broken / fissured,Reduced to an edge,short hinged removals (A2),High,Hinged bulb,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,32,rfs,131,i13,3,proximal,13.33,13.26,10.62,1.83,1.09,3.91,1.06,NA,#VALUE!,0,,Other,CCS general,Narrow linear (D2),None (plain),None (A1);,None,Hertzian cone absent,0,NA,Non-expressed, B1,Broken,NA,,
,33,rfs,131,i13,4,complete,7.48,7.48,14.21,1.91,1,NA,NA,NA,#VALUE!,0,,Expanding,Quartz,Missing,Other,None (A1);,None,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,34,rfs,131,i13,5,complete,9.24,8.7,8.95,2.07,2.35,3.79,1.48,NA,#VALUE!,NA,,Other,Hornfels,Chapeau de gendarme,None (plain),short hinged removals (A2),Slight,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,35,rfs,131,i13,6,complete,30.07,30.61,19.37,6.64,7.17,13.95,6.05,5.07,102.6252782,0,,Paralell,CCS general,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Hertzian cone absent,91-99%,NA,Non-expressed,A3,Feather,NA,,
,36,rfs,131,I13,6,complete,16.3,16.33,13.12,3.26,NA,11.27,3.5,NA,#VALUE!,0,,Converging,CCS general,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Hertzian cone absent,0,NA,Non-expressed, B1,Feather,NA,,
,37,rfs,131,i13,7,complete,19.42,18.55,17.83,7.41,3,NA,NA,NA,#VALUE!,0,,Expanding,CCS general,Chapeau de gendarme,Reduced to an edge,short hinged removals (A2),None,,11-40%,NA,Expressed and centered on the platform,A3,Axial,NA,,
,38,rfs,131,I13,7,complete,19.66,19.13,18.94,3.55,1.71,NA,NA,NA,#VALUE!,1,,Expanding,CCS general,Broken / fissured,None (plain),short hinged removals (A2),High,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,39,rfs,131,I13,7,proximal,20.84,20.84,15.49,2.58,2.34,9.24,1.41,NA,#VALUE!,0,,Broken,Chert,Narrow linear (D2),Cortical,short hinged removals (A2),High,Eraillure scar,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Broken,no,,
,40,rfs,131,I13,8,proximal,21.88,20.66,14.47,3.45,4.47,9.14,4.01,4.03,89.57506415,0,,Paralell,Basaltic rock,Oval/triangular (D3),Other,short hinged removals (A2),None,Hertzian cone absent,0,Unidirectional-parallel A,Non-expressed, B1,Broken,no,,
,41,rfs,131,I13,9,proximal,12.17,7.68,19.53,4.64,5.17,18.13,3.75,5.21,104.1435209,NA,,Broken,CCS general,Quadrangular or wide trapezoidal (D5),Dihedral,short hinged removals (A2),Slight,Hertzian cone present,11-40%,NA,Expressed and centered on the platform,Other,Broken,NA,,
,42,rfs,131,I13,9,proximal,17.79,17.8,6.34,2.57,2.87,3.11,2.2,NA,#VALUE!,0,,Paralell,CCS general,Crushed,Other,short hinged removals (A2),None,Sheared bulb,0,NA,Non-expressed, B1,Broken,NA,,
,43,rfs,131,I13,9,proximal,14.56,14.61,13.17,4.3,4.88,10.73,2.22,NA,#VALUE!,0,,Broken,Chalcedony,Crushed,Absent (broken platform),None (A1);,None,Sheared bulb,0,Orthogonal/crossed,Expressed and centered on the platform, B1,Broken,no,,bipolar
,44,rfs,131,i13,10,complete,11.38,11.37,12.28,1.71,1.29,3.49,1.21,NA,#VALUE!,1,,Ovoid,Tuff,Narrow linear (D2),None (plain),None (A1);,None,Hertzian cone absent,41-60%,Centripetal,Non-expressed, B1,Feather,no,,thinning flake
,45,rfs,131,i13,10,complete,10.61,10.62,9.72,1.65,1.64,4.2,1.2,NA,#VALUE!,0,,Ovoid,Tuff,Narrow linear (D2),None (plain),None (A1);,None,Hertzian cone absent,0,NA,Non-expressed, B1,Feather,no,,thinning flake
,46,rfs,131,i13,11,complete,34.98,34.99,36.06,8.86,10.42,22.3,10.98,4.24,92.48472866,2,,Ovoid,Sandstone,Quadrangular or wide trapezoidal (D5),None (plain),short hinged removals (A2),None,Hertzian cone present,0,Sub-centripetal,Expressed and centered on the platform, B1,Feather,no,,"large flake, very different"
,47,rfs,131,i13,12,proximal,20.21,18,15.29,4.7,2.39,NA,NA,NA,#VALUE!,0,,Other,Basaltic rock,Broken / fissured,Other,Other,Other,none,0,NA,Non-expressed, B1,Broken,NA,,
,48,rfs,131,i13,12,proximal,21.43,18.22,12.08,4.52,5.44,8.43,6.52,2.35,60.12603917,2,,Paralell,Basaltic rock,Oval/triangular (D3),None (plain),None (A1);,None,none,0,NA,Expressed and lateralized on the platform, B7,Broken,NA,,
,49,rfs,131,i13,12,proximal,15.46,15.48,18.72,5.9,6.92,19.39,9.15,1.95,51.30953564,0,,Broken,Basaltic rock,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,none,0,NA,Non-expressed, B7,Broken,yes,,
,50,rfs,131,i13,13,proximal,42.24,38.23,19.55,7.81,7.27,14.31,6.3,3.41,80.05389896,4,,Paralell,Dyke material,Oval/triangular (D3),Faceted (bulb negatives are present),None (A1);,None,Eraillure scar,0,NA,Expressed and centered on the platform, B1,Broken,no,,
,51,rfs,131,i13,13,proximal,21.69,15.33,22.18,3.87,4.32,11.81,2.89,2.89,70.88824567,1,,Broken,Dyke material,Chapeau de gendarme,None (plain),short hinged removals (A2),None,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Broken,no,,
,52,rfs,131,i13,13,proximal,25.53,25.53,19.49,8.34,9.03,15.08,6.19,4.71,98.47760255,NA (broken ventral),,Paralell,Dyke material,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Sheared bulb,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Broken,NA,,
,53,rfs,131,i13,13,proximal,,,18.19,4.24,2.77,4.62,1.01,NA,#VALUE!,0,,Broken,Dyke material,Narrow linear (D2),None (plain),short hinged removals (A2),None,Hertzian cone present,11-40%,NA,Expressed and centered on the platform, B6,Broken,no,,
,54,rfs,131,i13,13,complete,32.65,32.65,11.52,4.92,7.04,8.78,5.62,6.37,114.9761715,3,,Paralell,Dyke material,Oval/triangular (D3),None (plain),None (A1);,None,Sheared bulb,0,NA,Non-expressed, B1,Hinge,no,,
,55,rfs,131,i13,13,complete,24.94,18.85,21.49,8.9,3.83,9.72,2.47,3.02,73.28686659,0,,Paralell,Dyke material,Narrow linear (D2),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B1,Axial,NA,,
,56,rfs,131,i13,13,complete,31.05,31.09,13.98,5.61,7.89,16.78,7.18,3.93,88.13572111,0,,Converging,Dyke material,Oval/triangular (D3),Faceted (bulb negatives are present),None (A1);,Slight,Eraillure scar,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,no,,utlized laterals
,57,rfs,131,i13,13,proximal,,,,,2.06,4.17,1.62,2.26,58.20502052,0,,Paralell,Dyke material,Oval/triangular (D3),Faceted (bulb negatives are present),None (A1);,None,Hertzian cone present,0,Orthogonal/crossed,Expressed and lateralized on the platform, B1,Broken,no,,
,58,rfs,131,i13,14,complete,33.97,27.86,15.14,2.65,4.7,9.92,2.28,2.91,71.26203006,3,,Converging,Chalcedony,Lunate (D4),Dihedral,None (A1);,None,Hertzian cone present,0,Sub-centripetal,Expressed and centered on the platform, B1,Feather,no,,
,59,rfs,131,i13,14,complete,20.09,20.1,15.31,3.98,2.74,8.89,2.48,NA,#VALUE!,0,,Ovoid,CCS general,Broken / fissured,"Residual faceting (ridges, but no bulb negatives)",None (A1);,None,Eraillure scar,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,60,rfs,131,i13,15,proximal,,,,,,13.66,1.27,2.29,58.8494226,0,,Broken,Dyke material,Lunate (D4),None (plain),short hinged removals (A2),None,none,0,NA,Expressed and centered on the platform, B1,Broken,NA,,
,61,rfs,131,i13,15,complete,14.7,14.67,10.62,3.42,2.03,4.27,0.53,NA,#VALUE!,0,,Other,Dyke material,Broken / fissured,Reduced to an edge,short hinged removals (A2),Other,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,62,rfs,131,i13,15,proximal,,,,,4.24,10.44,3.08,3.78,85.90918302,1,,Broken,Dyke material,Narrow linear (D2),None (plain),small removals following scar ridges (A3),None,none,0,Sub-centripetal,Expressed and lateralized on the platform, B1,Broken,no,,
,63,rfs,131,i13,15,proximal,,,,,5.83,11.54,4.91,2.79,68.99308538,0,,Broken,Dyke material,Oval/triangular (D3),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B1,Broken,NA,,
,64,rfs,131,i13,15,proximal,,,,,6.06,12.76,6.15,2.83,69.75641303,0,,Broken,Dyke material,Quadrangular or wide trapezoidal (D5),Faceted (bulb negatives are present),small removals following scar ridges (A3),None,Eraillure scar,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Broken,no,,dif?
,65,rfs,131,i13,15,proximal,,,,,3.02,5.55,2.46,NA,#VALUE!,0,,Broken,Dyke material,Oval/triangular (D3),None (plain),None (A1);,None,none,1,NA,Non-expressed,A2,Broken,NA,,
,66,rfs,131,i13,15,complete,17.48,17.5,9.64,5.08,2.17,2.95,1.8,NA,#VALUE!,0,,Expanding,Dyke material,Oval/triangular (D3),"Residual faceting (ridges, but no bulb negatives)",None (A1);,None,none,0,NA,Non-expressed, B7,Hinge,NA,,
,67,rfs,131,i13,15,proximal,,,,,3.38,6.3,1.7,NA,#VALUE!,0,,Other,Dyke material,Lunate (D4),None (plain),None (A1);,None,none,0,NA,Non-expressed,Other,Broken,NA,,
,68,rfs,131,i13,15,proximal,,,,,2.84,9.99,2.16,2.9,71.07535558,0,,Other,Dyke material,Narrow linear (D2),None (plain),short hinged removals (A2),None,none,0,NA,Non-expressed, B1,Broken,NA,,
,69,rfs,131,i13,15,proximal,,,,,1.95,4.18,1.56,NA,#VALUE!,1,,Paralell,Dyke material,Broken / fissured,None (plain),short hinged removals (A2),None,none,0,NA,Expressed and centered on the platform, B1,Broken,NA,,
,70,rfs,131,i13,16,complete,29.46,29.47,12.54,5.37,8.73,14.95,8.81,3.4,79.88820054,1,,Converging,Dyke material,Oval/triangular (D3),None (plain),None (A1);,None,none,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,NA,,
,71,rfs,131,i13,17,complete,36.95,35.16,19.99,8.06,7.48,6.09,6.72,3.1,74.72685557,4,,Expanding,Chert,Oval/triangular (D3),Cortical,None (A1);,None,Hinged bulb,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Hinge,no,,"lateral step terms, bipolar?"
,72,rfs,131,i13,17,complete,34.59,34.78,26.51,10.62,5.24,9.37,1.83,NA,#VALUE!,1,,Ovoid,Chert,Lunate (D4),Other,short hinged removals (A2),Very high,crushed,0,Sub-centripetal,Expressed and centered on the platform, B1,Axial,yes,,
,73,rfs,131,i13,17,complete,21.39,13.01,19.31,3.08,2.39,3.09,1.53,NA,#VALUE!,0,,Ovoid,CCS general,Quadrangular or wide trapezoidal (D5),Other,None (A1);,None,Hertzian cone present,11-40%,NA,Expressed and centered on the platform, B7,Feather,NA,,
,74,rfs,131,i13,17,complete,28.5,14.84,31.21,5.8,5.94,11.69,5.7,5,101.846803,1,,Paralell,CCS general,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,75,rfs,131,i13,17,complete,25.23,25.23,17.78,5.39,5.51,NA,1.31,NA,#VALUE!,0,,Expanding,Chert,Crushed,Reduced to an edge,short hinged removals (A2),Very high,Sheared bulb,0,Sub-centripetal,Expressed and lateralized on the platform, B1,Feather,no,,
,76,rfs,131,i13,17,complete,20.36,20.39,9.64,2.65,2.34,4.71,1.33,NA,#VALUE!,1,,Paralell,Chert,Crushed,Reduced to an edge,short hinged removals (A2),Very high,Sheared bulb,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Axial,yes,,
,77,rfs,131,i13,17,complete,20.45,15.7,16.72,6.34,5.93,4.05,5.02,3.87,87.2549519,1,,Other,CCS general,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,78,rfs,131,i13,17,proximal,,,,,NA,NA,NA,NA,#VALUE!,1,,Paralell,Chert,Crushed,Reduced to an edge,short hinged removals (A2),Very high,Sheared bulb,0,Unidirectional-parallel A,Expressed and centered on the platform, B2,Broken,no,,cone is sheared and crushed
,79,rfs,131,i13,17,lateral,,,,,7.07,broken in half,7.26,3.27,77.69723861,0.5,,Paralell,Chert,,Faceted (bulb negatives are present),None (A1);,Slight,lipped,0,Bidirectional/opposed,Other,Other,Broken,no,,"split bipolar core, becomes a lateral fragment, crushing on lateral edge"
,80,rfs,131,i13,17,proximal,,,,,1.23,6.82,0.96,NA,#VALUE!,2,,Broken,CCS general,Narrow linear (D2),None (plain),None (A1);,None,Hertzian cone present,11-40%,NA,Expressed and centered on the platform,Other,Broken,NA,,some kind of thinning flake
,81,rfs,131,i13,18,complete,11.63,11.64,16.98,4.27,3.85,9.35,3.7,2.26,58.20502052,0.5,,Expanding,Dyke material,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Eraillure scar,0,NA,Expressed and centered on the platform, B1,Feather,no,,
,82,rfs,131,i13,18,complete,8.21,8.21,13.86,2.3,2.13,7.49,1.31,NA,#VALUE!,0.5,,Expanding,Dyke material,Chapeau de gendarme,None (plain),None (A1);,None,lipped,0,NA,Expressed and lateralized on the platform,Other,Feather,no,,
,83,rfs,131,i13,18,proximal,,,,,2.62,7,2.25,NA,#VALUE!,0,,Broken,Dyke material,Oval/triangular (D3),"Residual faceting (ridges, but no bulb negatives)",short hinged removals (A2),None,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B1,Broken,no,,
,84,rfs,131,i13,18,complete,17.54,13.1,11.68,2.15,2.43,5.7,1.85,NA,#VALUE!,0.5,,Other,Dyke material,Oval/triangular (D3),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B1,Feather,yes,,
,85,rfs,131,i13,19,complete,38.59,34.33,19.68,10.17,7.86,12.37,NA,NA,#VALUE!,1,,Converging,Hornfels,Crushed,Other,short hinged removals (A2),Other,crushed,0,Bidirectional/opposed,Other,Core mainteNAnce flake,Axial,NA,,"bulb crushed on both sides of the flake, looks like rejuveNAtion flake"
raw materials,86,rfs,136,i13,20,lateral,29.54,29.54,lateral,8.07,8.22,lateral,8.79,3.85,86.95846068,0.5,,Broken,CCS general,,,,,,0,NA,Non-expressed, B1,Feather,NA,,
06.12.13,87,rfs,136,i13,21,proximal but nearly complete,,,7.4,4.13,1.69,3.36,0.77,NA,#VALUE!,0,,Paralell,Chalcedony,Broken / fissured,Reduced to an edge,None (A1);,None,Sheared bulb,0,Bidirectional/opposed,Non-expressed, B1,Broken,no,,bipolar
,88,rfs,136,i13,21,proximal,,,,,2.54,NA,NA,NA,#VALUE!,0.5,,Broken,Chert,Missing,Other,small removals following scar ridges (A3),Slight,Eraillure scar,0,Bidirectional/opposed,Expressed and lateralized on the platform, B1,Broken,no,,nibbling along laterals
,89,rfs,136,i13,21,complete,18.57,18.6,8.15,3.83,2.66,5.52,0.69,NA,#VALUE!,0,,Converging,Chalcedony,Broken / fissured,Reduced to an edge,short hinged removals (A2),High,Sheared bulb,0,Unidirectional-parallel A,Non-expressed, B1,Feather,yes,,bipolar
,90,rfs,136,i13,21,complete,16.65,14.43,9.38,3.4,2.22,5,1.14,NA,#VALUE!,0,,Paralell,Chalcedony,Narrow linear (D2),Cortical,None (A1);,None,Hertzian cone present,11-40%,NA,Expressed and lateralized on the platform, B1,Feather,yes,,"bipolar, double bulb"
,91,rfs,136,i13,21,proximal,,,,,4.53,9.28,5.15,2.65,66.26572139,NA,,Paralell,Chert,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B1,Broken,no,,
,92,rfs,136,i13,21,complete,18.1,18.1,8.72,2.16,1.74,2.92,0.84,1.77,47.11060873,3,,Converging,Chalcedony,Missing,Reduced to an edge,short hinged removals (A2),Slight,none,0,NA,Non-expressed, B1,Feather,NA,,
,93,rfs,136,i13,21,complete,14.7,14.5,6.53,1.88,1.32,2.08,0.84,1.12,30.84432264,0,,Paralell,Chert,Narrow linear (D2),None (plain),small removals following scar ridges (A3),High,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Hinge,no,,
,94,rfs,136,i13,21,proximal,,,,,2.97,10.03,2.63,1.94,51.07997513,0.5,,Broken,Chert,Broken / fissured,None (plain),short hinged removals (A2),None,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B1,Broken,NA,,
,95,rfs,136,i13,21,proximal,,,,,1.75,3.28,1.21,1.41,38.30327138,0.5,,Broken,Chalcedony,Crushed,Reduced to an edge,short hinged removals (A2),High,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B1,Broken,NA,,
,96,rfs,136,i13,21,proximal,,,,,2.14,9.84,1.71,NA,#VALUE!,0.7,,Broken,Chert,Quadrangular or wide trapezoidal (D5),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and lateralized on the platform, B7,Broken,NA,,
,97,rfs,136,i13,21,complete,12.66,12.66,9.92,1.23,1.29,2.53,0.86,NA,#VALUE!,0,,Converging,Chalcedony,Lunate (D4),Other,short hinged removals (A2),Slight,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,thinning flake
,98,rfs,136,i13,21,complete,14.2,12.16,13.96,1.56,2.27,6.39,1.82,2.11,54.92219958,0.3,,Ovoid,Chalcedony,Oval/triangular (D3),None (plain),None (A1);,None,Hertzian cone present,0,NA,Expressed and centered on the platform, B1,Feather,NA,,
,99,rfs,136,i13,21,complete,15.46,16.36,6.65,3.2,2,3.37,1.64,1.8,47.8201846,0.7,,Paralell,Chert,Broken / fissured,Reduced to an edge,None (A1);,None,Hinged bulb,0,Bidirectional/opposed,Non-expressed, B1,Feather,yes,,bipolar
,100,rfs,136,i13,22,complete,51.04,50.57,31.32,4.74,5.77,11.98,6.08,2.71,67.44524389,2,,Paralell,Hornfels,Oval/triangular (D3),None (plain),short hinged removals (A2),High,Hertzian cone present,0,Unidirectional-parallel A,Expressed and centered on the platform, B1,Feather,NA,,
,101,rfs,136,i13,23,lateral,,,,,4.54,lateral,lateral,3.08,74.36941291,0.1,,Broken,Dyke material,Broken / fissured,None (plain),None (A1);,None,Hertzian cone absent,0,NA,Other, B1,Broken,NA,,
